timestamp,rating_numerator,rating_denominator,name,stage,breed,favorite_count,retweet_count
2017-01-27 00:24:48,12,10,Scooter,,Border_terrier,15661.0,3763.0
2017-01-26 17:02:56,13,10,Wilson,,English_setter,,
2017-01-25 18:38:36,13,10,,pupper,Pembroke,12351.0,11136.0
2017-01-24 17:04:50,12,10,Cash,,schipperke,11144.0,2902.0
2017-01-24 01:08:40,12,10,Winston,,cairn,13198.0,2586.0
2017-01-21 18:26:02,13,10,,puppo,Lakeland_terrier,,
2017-01-21 17:31:20,12,10,Hobbes,,malinois,,
2017-01-21 01:02:48,12,10,,,cocker_spaniel,15511.0,3175.0
2017-01-20 17:00:46,13,10,Paisley,,Samoyed,,
2017-01-20 15:17:01,14,10,Gabe,pupper,Pomeranian,,
2017-01-20 00:50:15,11,10,,,Samoyed,36725.0,10561.0
2017-01-19 01:04:45,13,10,Jimison,,golden_retriever,11893.0,2510.0
2017-01-18 17:07:18,13,10,Duchess,doggo,golden_retriever,8826.0,1780.0
2017-01-18 01:01:34,13,10,Harlso,,Doberman,,
2017-01-17 17:21:47,14,10,Sundance,doggo,Irish_setter,,
2017-01-17 00:18:04,12,10,Luca,,German_shepherd,9139.0,2163.0
2017-01-16 21:32:06,11,10,,doggo,Pomeranian,,
2017-01-16 17:20:45,12,10,Flash,,Old_English_sheepdog,13294.0,2461.0
2017-01-15 21:49:15,13,10,Sunny,,golden_retriever,,
2017-01-14 17:00:24,14,10,,,Gordon_setter,3498.0,606.0
2017-01-13 17:00:21,13,10,Oliver,puppo,American_Staffordshire_terrier,5584.0,1272.0
2017-01-12 16:54:26,13,10,Jazzy,,Cardigan,10074.0,2117.0
2017-01-12 00:55:47,12,10,,,Rottweiler,,
2017-01-11 17:01:16,12,10,Finn,,Border_terrier,24257.0,7200.0
2017-01-11 02:15:36,14,10,Bo,doggo,standard_poodle,91167.0,39592.0
2017-01-10 01:15:10,13,10,Wafer,,Labrador_retriever,23353.0,8037.0
2017-01-10 00:24:38,12,10,Bear,,Chihuahua,,
2017-01-09 00:53:55,12,10,Florence,,miniature_schnauzer,11588.0,2457.0
2017-01-08 17:20:31,11,10,Autumn,,golden_retriever,,
2017-01-07 20:18:46,13,10,Buddy,,cocker_spaniel,,
2017-01-07 16:59:28,13,10,Dido,pupper,curly-coated_retriever,,
2017-01-07 01:00:41,12,10,,,pug,,
2017-01-06 17:00:38,11,10,Strudel,,Doberman,5901.0,1038.0
2017-01-06 00:49:53,13,10,Tebow,,golden_retriever,9195.0,2169.0
2017-01-05 21:29:55,13,10,,,Saluki,12838.0,2820.0
2017-01-05 17:13:55,11,10,Chloe,,kelpie,9035.0,1774.0
2017-01-05 01:20:46,12,10,Timber,,malamute,10559.0,2189.0
2017-01-04 17:27:59,12,10,Binky,,Chihuahua,,
2017-01-03 17:33:39,11,10,Dudley,,Labrador_retriever,9057.0,2112.0
2017-01-03 01:20:49,12,10,Comet,,Pomeranian,9427.0,2328.0
2017-01-02 18:38:42,11,10,Jack,,Chihuahua,,
2017-01-02 17:00:46,13,10,,pupper,Tibetan_mastiff,23602.0,9149.0
2017-01-02 01:48:06,11,10,Akumi,,Border_collie,10379.0,2450.0
2017-01-01 19:22:38,12,10,Titan,,German_shepherd,,
2016-12-31 00:08:17,11,10,Cooper,pupper,dalmatian,8063.0,1385.0
2016-12-30 01:05:33,12,10,Olivia,,golden_retriever,11874.0,2920.0
2016-12-29 17:54:58,12,10,Alf,,miniature_poodle,9112.0,2001.0
2016-12-28 16:56:16,12,10,Oshie,,golden_retriever,,
2016-12-28 00:52:25,11,10,Chubbs,doggo,Siberian_husky,9812.0,2020.0
2016-12-27 18:24:12,14,10,,,French_bulldog,38401.0,15111.0
2016-12-27 17:36:16,12,10,Sky,,malamute,8800.0,1895.0
2016-12-26 03:00:30,13,10,,,Samoyed,19686.0,7892.0
